Model,Mean_Accuracy,Std_Accuracy,Mean_F1_Weighted,Std_F1_Weighted,Mean_F1_Macro,Std_F1_Macro
k-NN (k=3),0.6884210526315788,0.0283234190464709,0.6812119779571557,0.0273512129040261,0.543710567616024,0.0118428913015945
k-NN (k=5),0.6494736842105262,0.0291333736907327,0.637031650025804,0.0291072579288601,0.4925940792067399,0.0316623618195749
k-NN (k=7),0.634736842105263,0.0206809291625142,0.6196454494661414,0.0207210891400042,0.4786119057640386,0.0319583949743888
k-NN (k=9),0.6021052631578947,0.0236783618509515,0.5838247117945423,0.0214404114497229,0.4359695117819617,0.0373216968926221
Naive Bayes,0.3726315789473684,0.0374239764939603,0.3731812933788777,0.0312879222913216,0.3067033627183536,0.0580482865639598
Decision Tree (depth=3),0.0799999999999999,0.0265045859200298,0.0505912493192263,0.0138712502439049,0.1132042631790986,0.0266850376637997
Decision Tree (depth=5),0.2336842105263158,0.0786732081728623,0.2140642236380011,0.0701145536866302,0.2595412113244664,0.0411560726295622
Decision Tree (depth=10),0.5178947368421053,0.0428357683144754,0.5341900660040152,0.0373460100449096,0.4647386260193681,0.0232398942679371
Random Forest (n=50),0.7842105263157896,0.0358513397177397,0.7719698750740549,0.0383870671594658,0.6773367202354523,0.0474561161890023
Random Forest (n=100),0.7894736842105263,0.0290190500044004,0.7752493007605286,0.0328964484118764,0.674704059345291,0.0552333545371447
Random Forest (n=200),0.7968421052631579,0.026336833690940642,0.7846653836438728,0.028892619893462996,0.699560903948942,0.05474637674929632
