Model,Train_RMSE,Train_MAE,Train_R2,Test_RMSE,Test_MAE,Test_R2,Mean_RMSE,Mean_MAE,Mean_R2,Std_RMSE,Std_MAE,Std_R2
Linear Regression,4.031700796247299,3.3019467435700385,0.4568955482915294,3.891470287177923,3.3822476150298946,0.4667710043754229,,,,,,
"Linear Regression (K-Fold CV, K=5)",,,,,,,4.069230903155427,3.3379209302508857,0.4394572266953679,0.1065130139766431,0.0533996645193699,0.0162960310464109
"Polynomial Regression (deg=2, K-Fold CV, K=5)",,,,,,,3.593530521222813,2.4488406549873813,0.5421180778384993,0.7493479782001858,0.1402174526785626,0.214579974464013
"Polynomial Regression (deg=3, K-Fold CV, K=5)",,,,,,,6.769511913800318,2.762655350257569,-0.8463605623636449,2.953106852200912,0.3517172467076755,1.502558764300714
"Ridge Regression (alpha=0.01, K-Fold CV, K=5)",,,,,,,4.069228691452304,3.3379241515721683,0.4394578365932625,0.1065120841287322,0.0533987328008953,0.016295780947455
"Ridge Regression (alpha=0.1, K-Fold CV, K=5)",,,,,,,4.069208803732133,3.3379531423176365,0.4394633208242059,0.1065037182074964,0.053390350782685,0.0162935301103311
"Ridge Regression (alpha=1.0, K-Fold CV, K=5)",,,,,,,4.069011664303147,3.3382429359760244,0.4395176844768866,0.1064203272661797,0.0533068708293908,0.0162710274179692
"Ridge Regression (alpha=10.0, K-Fold CV, K=5)",,,,,,,4.067208826626665,3.341140866311291,0.4400149050654672,0.105613220342882,0.0524900750458059,0.016046939335306
"Ridge + Polynomial (deg=2, alpha=0.01, K-Fold CV, K=5)",,,,,,,3.5921885664005773,2.448587744098333,0.5425192911017204,0.7480114464706609,0.1400243315596072,0.2140749720014143
"Ridge + Polynomial (deg=2, alpha=0.1, K-Fold CV, K=5)",,,,,,,3.580386077762023,2.4464303536685605,0.5460409679820319,0.7361869202619719,0.1383390745144743,0.2096251231370411
"Ridge + Polynomial (deg=2, alpha=1.0, K-Fold CV, K=5)",,,,,,,3.4845253046353006,2.428976123447499,0.5741614474206592,0.635123956370388,0.1239212147787202,0.1729024593466076
"Ridge + Polynomial (deg=2, alpha=10.0, K-Fold CV, K=5)",,,,,,,3.216459547391674,2.421788930705884,0.6477138232933288,0.2706885666301811,0.0779978430018333,0.057418878609225434
